chrI	YAL001C	147594	151166	-1
chrI	YAL002W	143707	147531	1
chrI	YAL003W	142174	143160	1
chrI	YAL005C	139503	141431	-1
chrI	YAL007C	137698	138345	-1
chrI	YAL008W	136914	137510	1
chrI	YAL009W	135854	136633	1
chrI	YAL010C	134184	135665	-1
chrI	YAL011W	132199	134076	1
chrI	YAL012W	130799	131983	1
chrI	YAL013W	129270	130487	1
chrI	YAL014C	128252	129019	-1
chrI	YAL015C	126903	128102	-1
chrI	YAL016W	124879	126786	1
chrI	YAL017W	120225	124295	1
chrI	YAL018C	118564	119541	-1
chrI	YAL019W	114919	118314	1
chrI	YAL020C	113614	114615	-1
chrI	YAL021C	110846	113359	-1
chrI	YAL022C	108877	110430	-1
chrI	YAL023C	106272	108551	-1
chrI	YAL024C	101565	105872	-1
chrI	YAL025C	100225	101145	-1
chrI	YAL026C	95630	99697	-1
chrI	YAL027W	94687	95472	1
chrI	YAL028W	92900	94486	1
chrI	YAL029C	87855	92270	-1
chrI	YAL030W	87286	87752	1
chrI	YAL031C	84749	87031	-1
chrI	YAL032C	83335	84474	-1
chrI	YAL033W	82706	83227	1
chrI	YAL034W-A	79718	80587	1
chrI	YAL035W	76427	79435	1
chrI	YAL036C	75043	76152	-1
chrI	YAL037W	74020	74823	1
chrI	YAL038W	71786	73288	1
chrI	YAL039C	68716	69525	-1
chrI	YAL040C	65778	67520	-1
chrI	YAL041W	62840	65404	1
chrI	YAL042W	61316	62563	1
chrI	YAL043C	58695	61052	-1
chrI	YAL044C	57950	58462	-1
chrI	YAL045C	57488	57796	-1
chrI	YAL046C	57029	57385	-1
chrI	YAL047C	54989	56857	-1
chrI	YAL048C	52801	54789	-1
chrI	YAL049C	51855	52595	-1
chrI	YAL051W	48564	51707	1
chrI	YAL053W	45899	48250	1
chrI	YAL054C	42881	45022	-1
chrI	YAL055W	42177	42719	1
chrI	YAL056W	39259	41901	1
chrI	YAL058W	37464	38972	1
chrI	YAL059W	36509	37147	1
chrI	YAL060W	35155	36303	1
chrI	YAL061W	33448	34701	1
chrI	YAL062W	31567	32940	1
chrI	YAL063C	24000	27968	-1
chrI	YAL064W	21566	21850	1
chrI	YAL066W	10091	10399	1
chrI	YAL067C	7235	9016	-1
chrI	YAR002W	152257	153876	1
